Time,B02,B03,B04,B05,B08,B09,B10,B11,C02,C03,C04,C05,C08,C09,C10,C11,D02,D03,D04,D05,D08,D09,D10,D11,E02,E03,E04,E05,E08,E09,E10,E11,F02,F03,F04,F05,F08,F09,F10,F11,G02,G03,G04,G05,G08,G09,G10,G11
640,15188,24733,15340,24926,15547,15479,15495,14967,15290,24525,15130,25231,15496,15373,15088,14941,15427,26258,15321,25524,15375,15625,15132,15128,15037,25321,15260,24950,15382,15540,15446,15333,15095,24570,15049,25207,15173,14885,15197,15272,14832,24682,15088,25049,15279,14936,14809,15181
650,15084,24810,15260,24908,15339,15538,15540,15360,15275,24662,15275,25350,15627,15555,15587,14916,15215,26653,15141,25578,15740,15738,15502,15245,14968,25843,15230,24741,15525,15772,15308,15478,15376,24474,14949,25495,15348,15196,15040,14895,15047,25055,14911,25281,15564,15150,15029,14930
660,15400,24636,15371,25061,15487,15480,15353,14955,15398,25086,15233,25407,15681,15360,15446,15280,15214,26671,14987,25795,15582,15553,15369,15348,15187,25867,15187,24514,15363,15778,15185,15380,14961,24656,15041,25537,15244,14937,15323,15105,14998,25043,15126,25510,15144,15261,14980,15032
670,15319,24889,15407,25406,15337,15416,15154,15283,15273,24516,15243,25414,15628,15601,15093,15284,15296,26777,15212,25444,15549,15600,15273,15263,14959,25885,14916,24681,15507,15623,15429,15296,15115,24424,14875,25553,15068,15207,15418,15016,14769,24832,15187,25413,15052,15229,14801,15246
680,15337,25178,15210,25570,15248,15465,15070,15300,15158,24654,15154,25870,15674,15495,15457,15345,15582,26896,15428,25417,15513,15548,15315,15058,15267,25839,15254,24633,15341,15537,15202,15284,15065,24693,15226,25410,14980,14933,15003,15001,15044,25115,15356,25569,15110,15170,14855,15130
690,15072,24795,15430,25578,15412,15354,15141,15104,15494,24997,15396,25674,15591,15155,15309,15245,15554,26826,15040,25538,15520,15853,15209,15190,15171,25675,15119,24717,15397,15512,15118,15370,15224,25110,14953,25296,15324,15016,15181,15043,15049,25209,14931,25323,15291,14874,14902,15067
700,15213,24672,15451,25179,15374,15540,15250,15174,15496,24755,15207,25311,15508,15550,15296,15128,15539,26723,15033,25472,15490,15468,14943,15253,14941,25221,15193,24709,15468,15378,15609,15047,15050,24714,15018,25214,15148,15121,14967,14770,15000,24983,15230,25208,15149,15353,14880,14987
710,15362,24987,15239,25425,15501,15549,15304,15297,15168,24538,15326,25230,15608,15849,15256,15535,15371,26553,15224,25474,15417,15633,15325,15084,15302,25474,15215,25033,15550,15547,15186,15361,15044,24624,15091,25137,15017,15093,15314,15071,14821,25143,15124,25553,15000,15278,15193,15161
720,15278,24752,15243,25251,15611,15606,15343,15117,15395,24734,15292,25298,15789,15479,15354,15117,15123,26810,15249,25604,15437,15836,15016,15167,15068,25624,14882,24753,15037,15457,15269,15081,15056,24916,15045,25189,15304,15158,15112,15271,14944,24783,15037,25700,15333,15065,15091,15072
730,15061,24361,15686,25117,15418,15332,15215,15149,15311,24468,15044,25061,15530,15222,15126,15229,15344,26476,15086,25193,15577,15412,15674,14883,15037,25279,15219,24710,15365,15614,15257,15280,15194,24271,15125,25440,15555,15230,15097,14905,15103,24666,14892,25118,14715,15092,14958,15085
740,15323,24666,15291,25486,15401,15355,15178,15219,15434,24459,15225,25198,15491,15299,15288,15228,15293,26621,15227,25633,15833,15294,15313,15178,15032,25552,15050,25107,15433,15537,15255,15147,15171,24473,14966,25064,15291,15076,15138,14950,14606,25256,15250,25412,15292,15215,15277,14825
750,15210,24682,15155,25008,15566,15344,15332,15067,15249,24304,15187,24686,15784,15454,15468,15282,15453,26397,15439,25317,15569,15596,15299,15317,14938,25747,15005,24551,15545,15469,15214,15107,15379,24492,14825,24955,15475,15167,15424,14930,14932,24962,14872,24872,15390,15150,14799,14940
760,15148,24469,15407,25586,15761,15434,15240,15451,15452,24721,15107,25102,15566,15634,15145,15264,15639,26806,15260,25378,15150,15652,15304,15122,14991,25703,14964,24716,15425,15642,15250,15268,15287,24302,15240,25065,15243,15117,15269,15072,15030,24738,15345,25511,14958,14764,15084,15157
770,15097,24548,15343,25283,15428,15743,15155,15037,15174,24748,15134,24888,15625,15655,15340,15407,15391,26848,15244,25070,15457,15825,15630,15180,15093,25671,15132,24427,15255,15490,15526,15162,15090,24529,15368,25067,15077,14865,14861,15058,14822,25012,15261,25162,15135,15074,14885,15086
780,15254,24813,15308,24959,15373,15443,15248,15159,15390,24462,15261,25126,15534,15254,14909,15122,15062,26633,15339,25561,15421,15375,14966,15166,15279,25763,14966,24594,15359,15534,15408,15312,15042,24515,15027,25040,15556,15011,15022,14927,14869,25037,14875,25460,15279,15302,15033,15068
790,15126,24507,15395,25090,15470,15539,15271,15246,15303,24526,15309,25078,15633,15547,15426,15238,15347,26876,15170,25599,15468,15481,15080,15195,15275,25352,15216,24781,15248,15460,15149,15340,15196,24080,14854,25119,15333,15164,15440,15071,14928,24693,15025,25570,15107,15268,14740,15183
800,15106,24645,15289,25408,15510,15655,15047,15202,15400,24675,15257,25189,15913,15409,15139,15184,15612,26739,15204,25537,15295,15201,15530,15375,15089,25639,15096,24588,15396,15422,15037,15472,15157,24278,15100,25368,15092,15040,15116,15092,15004,25059,15061,25505,15030,15318,15120,14947
810,14972,24713,15246,24896,15488,15610,15468,15148,15414,24513,15329,24876,15724,15310,15432,15135,15508,26611,15396,25421,15587,15434,15299,15000,15003,25486,15103,24527,15245,15717,15211,15188,14775,24239,15099,24573,15418,15120,15225,14948,15130,24625,14946,25249,15134,15155,14846,14999
820,15259,24501,14905,25168,15379,15861,15386,15175,15464,24261,15380,24922,15613,15414,15304,15371,15235,26558,14954,25643,15319,15550,15256,15346,15318,25307,15172,24415,15326,15450,15013,15316,15168,24210,15113,24746,15190,14962,15126,14755,14960,24832,15065,25065,15117,15207,14921,15140
830,15095,24422,15353,25075,15260,15431,15325,15156,15289,24404,15376,25164,15615,15397,15041,15237,15561,26588,15280,25628,15444,15688,15364,15261,15121,25664,15196,24322,15405,15710,15170,15254,14996,23952,14882,24976,15335,15157,15309,15131,14820,24433,15088,25231,15215,15136,14817,15118
840,15011,24431,15065,24968,15462,15792,15391,15432,15198,24307,15181,25016,15770,15532,15409,15566,15397,26604,15091,25147,15539,15460,15318,15228,15005,25371,15330,24171,15042,15281,15147,15162,15157,24121,14948,24792,15147,15046,15395,14983,14886,24768,14782,25188,15256,15270,15219,15032
850,15220,24676,15477,25196,15340,15246,15152,14994,15281,24330,15014,24724,15522,15443,15443,15167,15281,26630,15102,24999,15292,15511,15377,14984,15019,25363,14764,24134,15544,15524,15268,15067,15248,23981,14985,24883,15380,15201,15287,15030,14801,24364,14957,24930,15241,15196,14881,14951
860,15266,24554,15389,25337,15364,15525,15520,15124,15013,24448,15436,25177,15695,15405,15278,15151,15281,26860,15115,25464,15456,15627,15591,15286,14918,25834,14988,24255,15164,15588,14932,15165,15255,24268,15028,24925,15338,14870,15120,15046,14668,24800,15184,25173,15048,15328,14741,15353
870,15225,24523,15464,24970,15353,15470,15386,15269,15438,24084,15259,25046,15592,15559,15298,15484,15290,27025,14962,25673,15382,15702,15516,15037,15257,25907,14977,24694,15436,15645,15220,15086,15095,24426,15212,25110,15014,15026,15365,15148,14716,24765,15008,25570,15516,14804,14904,14859
880,15298,24431,15317,25253,15493,15413,15278,15011,15447,24533,15354,25561,15376,15457,15115,15188,15317,26878,15175,25741,15399,15572,15233,15237,14937,25578,15141,24679,15391,15730,15164,15176,15188,24390,15075,25264,15258,14970,15008,15104,14873,24894,15228,25360,15179,15146,14815,14828
890,15171,25130,15237,25167,15467,15686,15196,15371,15533,24340,15233,25385,15647,15600,15424,15378,15536,27006,15561,25908,15878,15643,15277,15156,14995,25617,15089,24479,15553,15815,15364,15461,15073,24467,15053,25223,15365,15250,15262,14898,15132,24753,15113,25722,15127,15311,14933,15062
900,15429,24713,15038,25423,15557,15564,15275,15075,15254,24550,15374,25436,15400,15818,15154,15439,15222,27144,15034,26069,15449,15516,15752,15158,15104,26141,15259,24799,15425,15520,15597,15284,15256,24587,15387,25463,15431,15020,15286,15005,14945,25143,15093,25551,15376,15178,15100,15001
